ticker,company_name,industry,market_cap
KLAC,KLA Corp.,Semiconductor Equipment & Materials,95.14B
LRCX,Lam Research Corp.,Semiconductor Equipment & Materials,93.80B
SHW,The Sherwin-Williams Co.,Specialty Chemicals,93.49B
ICE,"Intercontinental Exchange, Inc.",Financial Data & Stock Exchanges,92.85B
MO,"Altria Group, Inc.",Tobacco,92.00B
DUK,Duke Energy Corp.,Utilities - Regulated Electric,90.17B
MCO,Moody's Corp.,Financial Data & Stock Exchanges,87.88B
ZTS,Zoetis Inc.,Drug Manufacturers - Specialty & Generic,87.23B
CL,Colgate-Palmolive Co.,Household & Personal Products,87.14B
WM,"Waste Management, Inc.",Waste Management,83.01B
GD,General Dynamics Corp.,Aerospace & Defense,82.46B
CTAS,Cintas Corp.,Specialty Business Services,81.91B
EQIX,"Equinix, Inc.",REIT - Specialty,81.67B
INTC,Intel Corp.,Semiconductors,80.28B
CME,CME Group Inc.,Financial Data & Stock Exchanges,78.64B
TT,Trane Technologies plc,Building Products & Equipment,77.87B
WELL,Welltower Inc.,REIT - Healthcare Facilities,77.81B
AON,Aon plc,Insurance Brokers,76.10B
NOC,Northrop Grumman Corp.,Aerospace & Defense,76.04B
PH,Parker-Hannifin Corp.,Specialty Industrial Machinery,74.54B
CMG,"Chipotle Mexican Grill, Inc.",Restaurants,74.49B
TDG,TransDigm Group Inc.,Aerospace & Defense,73.45B
ITW,Illinois Tool Works Inc.,Specialty Industrial Machinery,73.26B
MSI,"Motorola Solutions, Inc.",Communication Equipment,73.10B
APH,Amphenol Corp.,Electronic Components,72.88B
ABNB,"Airbnb, Inc.",Travel Services,72.39B
SNPS,"Synopsys, Inc.",Software - Infrastructure,71.63B
CVS,CVS Health Corp.,Healthcare Plans,71.53B
MMM,3M Co.,Conglomerates,71.17B
ECL,Ecolab Inc.,Specialty Chemicals,71.13B
PNC,"The PNC Financial Services Group, Inc.",Banks - Regional,70.82B
CDNS,"Cadence Design Systems, Inc.",Software - Application,70.20B
PYPL,"PayPal Holdings, Inc.",Credit Services,70.06B
USB,U.S. Bancorp,Banks - Regional,69.68B
FDX,FedEx Corp.,Integrated Freight & Logistics,69.42B
TGT,Target Corp.,Discount Stores,68.22B
BDX,"Becton, Dickinson and Co.",Medical Instruments & Supplies,67.97B
EOG,"EOG Resources, Inc.",Oil & Gas Exploration & Production,67.22B
MCK,McKesson Corp.,Medical Distribution,65.77B
ORLY,"O'Reilly Automotive, Inc.",Specialty Retail,65.34B
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,65.23B
CSX,CSX Corp.,Railroads,64.88B
CARR,Carrier Global Corp.,Building Products & Equipment,64.69B
RSG,"Republic Services, Inc.",Waste Management,64.30B
MAR,"Marriott International, Inc.",Lodging,63.10B
PSA,Public Storage,REIT - Industrial,62.37B
DHI,"D.R. Horton, Inc.",Residential Construction,61.04B
APD,"Air Products and Chemicals, Inc.",Specialty Chemicals,61.01B
CRWD,"CrowdStrike Holdings, Inc.",Software - Infrastructure,60.86B
AFL,Aflac Inc.,Insurance - Life,60.81B
ROP,"Roper Technologies, Inc.",Software - Application,59.13B
NEM,Newmont Corp.,Gold,58.60B
NSC,Norfolk Southern Corp.,Railroads,58.28B
FTNT,"Fortinet, Inc.",Software - Infrastructure,57.82B
FCX,Freeport-McMoRan Inc.,Copper,57.42B
NXPI,NXP Semiconductors N.V.,Semiconductors,57.31B
EMR,Emerson Electric Co.,Specialty Industrial Machinery,56.47B
TFC,Truist Financial Corp.,Banks - Regional,56.18B
SLB,Schlumberger Limited,Oil & Gas Equipment & Services,55.84B
CEG,Constellation Energy Corp.,Utilities - Renewable,55.71B
GEV,GE Vernova Inc.,Utilities - Renewable,55.17B
ADSK,"Autodesk, Inc.",Software - Application,54.74B
AEP,"American Electric Power Co., Inc.",Utilities - Regulated Electric,54.73B
TRV,"The Travelers Companies, Inc.",Insurance - Property & Casualty,54.55B
O,Realty Income Corp.,REIT - Retail,54.54B
MPC,Marathon Petroleum Corp.,Oil & Gas Refining & Marketing,54.31B
WMB,"The Williams Companies, Inc.",Oil & Gas Midstream,54.12B
SPG,"Simon Property Group, Inc.",REIT - Retail,53.13B
AZO,"AutoZone, Inc.",Specialty Retail,53.06B
OKE,"ONEOK, Inc.",Oil & Gas Midstream,53.05B
COF,Capital One Financial Corp.,Credit Services,52.70B
PSX,Phillips 66,Oil & Gas Refining & Marketing,52.64B
SRE,Sempra,Utilities - Diversified,52.31B
MET,"MetLife, Inc.",Insurance - Life,52.15B
HLT,Hilton Worldwide Holdings Inc.,Lodging,51.92B
CCI,Crown Castle Inc.,REIT - Specialty,51.84B
DLR,"Digital Realty Trust, Inc.",REIT - Specialty,50.84B
GM,General Motors Co.,Auto Manufacturers,50.32B
KDP,Keurig Dr Pepper Inc.,Beverages - Non-Alcoholic,50.23B
ROST,"Ross Stores, Inc.",Apparel Retail,49.97B
PCAR,PACCAR Inc,Farm & Heavy Construction Machinery,49.42B
BK,The Bank of New York Mellon Corp.,Asset Management,49.23B
KMB,Kimberly-Clark Corp.,Household & Personal Products,49.23B
MNST,Monster Beverage Corp.,Beverages - Non-Alcoholic,49.21B
LEN,Lennar Corp.,Residential Construction,49.02B
ALL,The Allstate Corp.,Insurance - Property & Casualty,48.70B
D,"Dominion Energy, Inc.",Utilities - Regulated Electric,48.32B
PAYX,"Paychex, Inc.",Software - Application,48.02B
OXY,Occidental Petroleum Corp.,Oil & Gas Exploration & Production,47.89B
GWW,"W.W. Grainger, Inc.",Industrial Distribution,47.54B
CPRT,"Copart, Inc.",Specialty Business Services,47.14B
JCI,Johnson Controls International plc,Building Products & Equipment,46.65B
KMI,"Kinder Morgan, Inc.",Oil & Gas Midstream,46.64B
COR,"Cencora, Inc.",Medical Distribution,46.53B
AIG,"American International Group, Inc.",Insurance - Diversified,46.53B
CHTR,"Charter Communications, Inc.",Telecom Services,46.09B
URI,"United Rentals, Inc.",Rental & Leasing Services,46.01B
STZ,"Constellation Brands, Inc.",Beverages - Brewers,45.07B
FIS,"Fidelity National Information Services, Inc.",Information Technology Services,45.05B
KVUE,Kenvue Inc.,Household & Personal Products,44.23B
MSCI,MSCI Inc.,Financial Data & Stock Exchanges,44.16B
TEL,TE Connectivity Ltd.,Electronic Components,43.80B
FICO,Fair Isaac Corp.,Software - Application,43.69B
LHX,"L3Harris Technologies, Inc.",Aerospace & Defense,43.49B
VLO,Valero Energy Corp.,Oil & Gas Refining & Marketing,43.14B
KHC,The Kraft Heinz Co.,Packaged Foods,42.92B
AMP,"Ameriprise Financial, Inc.",Asset Management,42.71B
IQV,IQVIA Holdings Inc.,Diagnostics & Research,42.45B
RCL,Royal Caribbean Cruises Ltd.,Travel Services,42.24B
GIS,"General Mills, Inc.",Packaged Foods,41.85B
ACGL,Arch Capital Group Ltd.,Insurance - Diversified,41.79B
HUM,Humana Inc.,Healthcare Plans,41.60B
NDAQ,"Nasdaq, Inc.",Financial Data & Stock Exchanges,41.51B
PCG,PG&E Corp.,Utilities - Regulated Electric,41.19B
HSY,The Hershey Co.,Confectioners,41.03B
ODFL,"Old Dominion Freight Line, Inc.",Trucking,40.96B
F,Ford Motor Co.,Auto Manufacturers,40.91B
PRU,"Prudential Financial, Inc.",Insurance - Life,40.86B
IDXX,"IDEXX Laboratories, Inc.",Diagnostics & Research,40.59B
MPWR,"Monolithic Power Systems, Inc.",Semiconductors,40.55B
CMI,Cummins Inc.,Specialty Industrial Machinery,40.49B
EW,Edwards Lifesciences Corp.,Medical Devices,40.07B
PEG,Public Service Enterprise Group Inc.,Utilities - Regulated Electric,39.97B
MCHP,Microchip Technology Inc.,Semiconductors,39.85B
A,"Agilent Technologies, Inc.",Diagnostics & Research,39.36B
FAST,Fastenal Co.,Industrial Distribution,39.21B
VRSK,"Verisk Analytics, Inc.",Consulting Services,39.13B
GEHC,GE HealthCare Technologies Inc.,Health Information Services,39.11B
EXC,Exelon Corp.,Utilities - Regulated Electric,38.79B
HES,Hess Corp.,Oil & Gas Exploration & Production,38.50B
SYY,Sysco Corp.,Food Distribution,38.50B
IT,"Gartner, Inc.",Information Technology Services,38.42B
CTVA,"Corteva, Inc.",Agricultural Inputs,38.28B
EA,Electronic Arts Inc.,Electronic Gaming & Multimedia,38.12B
