ticker,company_name,industry,market_cap
HST,"Host Hotels & Resorts, Inc.",REIT - Hotel & Motel,11.76B
EPAM,"EPAM Systems, Inc.",Information Technology Services,11.75B
FFIV,"F5, Inc.",Software - Infrastructure,11.72B
IPG,"The Interpublic Group of Companies, Inc.",Advertising Agencies,11.69B
BXP,"BXP, Inc.",REIT - Office,11.64B
AES,The AES Corp.,Utilities - Diversified,11.60B
TECH,Bio-Techne Corp.,Biotechnology,11.56B
JBL,Jabil Inc.,Electronic Components,11.55B
TFX,Teleflex Inc.,Medical Instruments & Supplies,11.54B
AOS,A. O. Smith Corp.,Specialty Industrial Machinery,11.43B
EMN,Eastman Chemical Co.,Specialty Chemicals,11.40B
TAP,Molson Coors Beverage Co.,Beverages - Brewers,11.34B
CTLT,"Catalent, Inc.",Drug Manufacturers - Specialty & Generic,10.86B
RL,Ralph Lauren Corp.,Apparel Manufacturing,10.60B
MGM,MGM Resorts International,Resorts & Casinos,10.57B
LKQ,LKQ Corp.,Auto Parts,10.26B
HII,"Huntington Ingalls Industries, Inc.",Aerospace & Defense,10.22B
PNW,Pinnacle West Capital Corp.,Utilities - Regulated Electric,10.16B
BEN,"Franklin Resources, Inc.",Asset Management,10.11B
AIZ,"Assurant, Inc.",Insurance - Specialty,9.92B
QRVO,"Qorvo, Inc.",Semiconductors,9.82B
FRT,Federal Realty Investment Trust,REIT - Retail,9.73B
MKTX,MarketAxess Holdings Inc.,Capital Markets,9.72B
CRL,"Charles River Laboratories International, Inc.",Diagnostics & Research,9.67B
TPR,"Tapestry, Inc.",Luxury Goods,9.43B
HAS,"Hasbro, Inc.",Leisure,9.42B
MHK,"Mohawk Industries, Inc.","Furnishings, Fixtures & Appliances",9.37B
MTCH,"Match Group, Inc.",Internet Content & Information,9.26B
PAYC,"Paycom Software, Inc.",Software - Application,9.23B
GL,Globe Life Inc.,Insurance - Life,9.16B
ALB,Albemarle Corp.,Specialty Chemicals,9.12B
BIO,"Bio-Rad Laboratories, Inc.",Medical Devices,9.01B
DAY,Dayforce Inc.,Software - Application,9.00B
LW,"Lamb Weston Holdings, Inc.",Packaged Foods,8.94B
APA,APA Corp.,Oil & Gas Exploration & Production,8.68B
HSIC,"Henry Schein, Inc.",Medical Distribution,8.53B
GNRC,Generac Holdings Inc.,Specialty Industrial Machinery,8.53B
WYNN,"Wynn Resorts, Limited",Resorts & Casinos,8.25B
CZR,"Caesars Entertainment, Inc.",Resorts & Casinos,7.83B
MOS,The Mosaic Co.,Agricultural Inputs,7.80B
NCLH,Norwegian Cruise Line Holdings Ltd.,Travel Services,7.69B
WBA,"Walgreens Boots Alliance, Inc.",Pharmaceutical Retailers,7.65B
FMC,FMC Corp.,Agricultural Inputs,7.61B
AAL,American Airlines Group Inc.,Airlines,7.18B
BWA,BorgWarner Inc.,Auto Parts,7.12B
IVZ,Invesco Ltd.,Asset Management,7.10B
PARA,Paramount Global,Entertainment,6.70B
ETSY,"Etsy, Inc.",Internet Retail,5.96B
BBWI,"Bath & Body Works, Inc.",Specialty Retail,5.87B
